task,step,progress,filename,source_path,dest_path,is_new,is_updated,pruned_count
atari-space-invaders,5000000,100.0,atari-space-invaders_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-space-invaders/20251225_175835_expert_atari-space-invaders/wandb/run-20251225_175838-wcab330p/files/media/videos/videos/eval_video_2360000_4197fb9021a7c0bd3ec5.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-space-invaders_5000000.mp4,False,False,0
atari-tutankham,5000000,100.0,atari-tutankham_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-tutankham/20251225_175834_expert_atari-tutankham/wandb/run-20251225_175837-oanez5wf/files/media/videos/videos/eval_video_2340000_e989d4004be6990e8968.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-tutankham_5000000.mp4,False,False,0
atari-upndown,5000000,100.0,atari-upndown_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-upndown/20251225_175836_expert_atari-upndown/wandb/run-20251225_175839-wpp7h4iy/files/media/videos/videos/eval_video_5000000_9a85517ee41817c59ec5.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-upndown_5000000.mp4,False,False,0
atari-yars-revenge,5000000,100.0,atari-yars-revenge_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-yars-revenge/20251227_022436_eval_20251225_195106_expert_atari-yars-revenge/wandb/run-20251227_022439-eqygs7sa/files/media/videos/videos/eval_video_0_5c5323b7c2f266ad75cc.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-yars-revenge_5000000.mp4,False,False,0
bipedal-walker-flat,5000000,100.0,bipedal-walker-flat_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/bipedal-walker-flat/20251227_022436_eval_20251226_041826_expert_bipedal-walker-flat/wandb/run-20251227_022439-bmjy2nsx/files/media/videos/videos/eval_video_0_418afe0b3ee3073a7b36.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/bipedal-walker-flat_5000000.mp4,False,False,0
bipedal-walker-hills,5000000,100.0,bipedal-walker-hills_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/bipedal-walker-hills/20251227_022438_eval_20251226_200846_expert_bipedal-walker-hills/wandb/run-20251227_022440-vbmhds8a/files/media/videos/videos/eval_video_0_c51f53bfc9e40c246a8a.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/bipedal-walker-hills_5000000.mp4,False,False,0
bipedal-walker-obstacles,5000000,100.0,bipedal-walker-obstacles_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/bipedal-walker-obstacles/20251227_022438_eval_20251226_220805_expert_bipedal-walker-obstacles/wandb/run-20251227_022440-14qc5nrh/files/media/videos/videos/eval_video_0_aeca8fceb81289570119.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/bipedal-walker-obstacles_5000000.mp4,False,False,0
bipedal-walker-rugged,5000000,100.0,bipedal-walker-rugged_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/bipedal-walker-rugged/20251227_022438_eval_20251226_201747_expert_bipedal-walker-rugged/wandb/run-20251227_022440-mhi6zb8r/files/media/videos/videos/eval_video_0_c905976e4f8b05161477.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/bipedal-walker-rugged_5000000.mp4,False,False,0
bipedal-walker-uneven,5000000,100.0,bipedal-walker-uneven_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/bipedal-walker-uneven/20251227_022445_eval_20251226_041826_expert_bipedal-walker-uneven/wandb/run-20251227_022447-3axngcrz/files/media/videos/videos/eval_video_0_7cac4d007eafc961ae70.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/bipedal-walker-uneven_5000000.mp4,False,False,0
cartpole-balance,5000000,100.0,cartpole-balance_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/cartpole-balance/20251217_111116_expert_cartpole-balance/wandb/run-20251217_111205-7wlco6nc/files/media/videos/videos/eval_video_5000000_42ce74d2e39e1b8ad40b.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/cartpole-balance_5000000.mp4,False,False,0
cartpole-balance-long-sparse,5000000,100.0,cartpole-balance-long-sparse_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/cartpole-balance-long-sparse/20251227_022445_eval_20251226_041827_expert_cartpole-balance-long-sparse/wandb/run-20251227_022448-aw0gz03s/files/media/videos/videos/eval_video_0_c918424efb3c4f4ebce3.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/cartpole-balance-long-sparse_5000000.mp4,False,False,0
cartpole-balance-sparse,5000000,100.0,cartpole-balance-sparse_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/cartpole-balance-sparse/20251216_011349_expert_cartpole-balance-sparse/wandb/run-20251216_011459-jef33vib/files/media/videos/videos/eval_video_5000000_dc2352dfcd44c38e2df2.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/cartpole-balance-sparse_5000000.mp4,False,False,0
cartpole-balance-two-poles-sparse,5000000,100.0,cartpole-balance-two-poles-sparse_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/cartpole-balance-two-poles-sparse/20251227_022445_eval_20251226_041827_expert_cartpole-balance-two-poles-sparse/wandb/run-20251227_022448-wth6646b/files/media/videos/videos/eval_video_0_aa4ecc98e756787cd485.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/cartpole-balance-two-poles-sparse_5000000.mp4,False,False,0
cartpole-swingup,5000000,100.0,cartpole-swingup_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/cartpole-swingup/20251216_011350_expert_cartpole-swingup/wandb/run-20251216_011459-0s8voniu/files/media/videos/videos/eval_video_5000000_6fbf705dd35643b2bdf5.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/cartpole-swingup_5000000.mp4,False,False,0
cartpole-swingup-sparse,5000000,100.0,cartpole-swingup-sparse_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/cartpole-swingup-sparse/20251216_011351_expert_cartpole-swingup-sparse/wandb/run-20251216_011459-2l3vnc9h/files/media/videos/videos/eval_video_5000000_3d7701c2ac22f7c48e01.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/cartpole-swingup-sparse_5000000.mp4,False,False,0
cheetah-jump,5000000,100.0,cheetah-jump_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/cheetah-jump/20251216_011338_expert_cheetah-jump/wandb/run-20251216_011436-8keyl5p7/files/media/videos/videos/eval_video_5000000_982391bd48acbad19128.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/cheetah-jump_5000000.mp4,False,False,0
cheetah-run,5000000,100.0,cheetah-run_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/cheetah-run/20251216_011346_expert_cheetah-run/wandb/run-20251216_011450-kce1z111/files/media/videos/videos/eval_video_5000000_5296616c257e44a7384e.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/cheetah-run_5000000.mp4,False,False,0
